status,out_dir,checkpoint,experiment,predicted_class,predicted_probability,class_probabilities
ok,/home/zeus/content/IOT_fusion/NEW/processed/default_balanced/cnn_img_only,/home/zeus/content/IOT_fusion/outputs/ablations_v2/processed/default_balanced/cnn_img_only/best.pth,"{'dataset_source': 'processed', 'variant': 'default_balanced', 'experiment_name': 'cnn_img_only', 'image_model': 'cnn', 'tabular_model': None, 'mode': 'image_only', 'scope': 'full'}",ACK,0.4704691469669342,"{'ACK': 0.4704691469669342, 'BCC': 0.17444312572479248, 'MEL': 0.024184854701161385, 'NEV': 0.10272840410470963, 'SCC': 0.08980154991149902, 'SEK': 0.13837285339832306}"
ok,/home/zeus/content/IOT_fusion/NEW/processed/default_balanced/cnn_mlp_early_fusion,/home/zeus/content/IOT_fusion/outputs/ablations_v2/processed/default_balanced/cnn_mlp_early_fusion/best.pth,"{'dataset_source': 'processed', 'variant': 'default_balanced', 'experiment_name': 'cnn_mlp_early_fusion', 'image_model': 'cnn', 'tabular_model': 'mlp', 'mode': 'early_fusion', 'scope': 'full'}",ACK,0.4374060332775116,"{'ACK': 0.4374060332775116, 'BCC': 0.199021115899086, 'MEL': 0.05385721102356911, 'NEV': 0.07965316623449326, 'SCC': 0.10709302872419357, 'SEK': 0.12296946346759796}"
ok,/home/zeus/content/IOT_fusion/NEW/processed/default_balanced/cnn_mlp_intermediate_fusion,/home/zeus/content/IOT_fusion/outputs/ablations_v2/processed/default_balanced/cnn_mlp_intermediate_fusion/best.pth,"{'dataset_source': 'processed', 'variant': 'default_balanced', 'experiment_name': 'cnn_mlp_intermediate_fusion', 'image_model': 'cnn', 'tabular_model': 'mlp', 'mode': 'intermediate_fusion', 'scope': 'full'}",ACK,0.40288278460502625,"{'ACK': 0.40288278460502625, 'BCC': 0.02401100844144821, 'MEL': 0.047820694744586945, 'NEV': 0.3249291777610779, 'SCC': 0.033256806433200836, 'SEK': 0.16709953546524048}"
ok,/home/zeus/content/IOT_fusion/NEW/processed/default_balanced/cnn_mlp_late_fusion,/home/zeus/content/IOT_fusion/outputs/ablations_v2/processed/default_balanced/cnn_mlp_late_fusion/best.pth,"{'dataset_source': 'processed', 'variant': 'default_balanced', 'experiment_name': 'cnn_mlp_late_fusion', 'image_model': 'cnn', 'tabular_model': 'mlp', 'mode': 'late_fusion', 'scope': 'full'}",NEV,0.4280707538127899,"{'ACK': 0.30434858798980713, 'BCC': 0.015094136819243431, 'MEL': 0.024311359971761703, 'NEV': 0.4280707538127899, 'SCC': 0.03388312831521034, 'SEK': 0.1942920982837677}"
ok,/home/zeus/content/IOT_fusion/NEW/processed/default_balanced/cnn_tabtransformer_early_fusion,/home/zeus/content/IOT_fusion/outputs/ablations_v2/processed/default_balanced/cnn_tabtransformer_early_fusion/best.pth,"{'dataset_source': 'processed', 'variant': 'default_balanced', 'experiment_name': 'cnn_tabtransformer_early_fusion', 'image_model': 'cnn', 'tabular_model': 'tabtransformer', 'mode': 'early_fusion', 'scope': 'full'}",BCC,0.3604273498058319,"{'ACK': 0.23039668798446655, 'BCC': 0.3604273498058319, 'MEL': 0.05236097425222397, 'NEV': 0.037063535302877426, 'SCC': 0.27646923065185547, 'SEK': 0.04328228905797005}"
ok,/home/zeus/content/IOT_fusion/NEW/processed/default_balanced/cnn_tabtransformer_intermediate_fusion,/home/zeus/content/IOT_fusion/outputs/ablations_v2/processed/default_balanced/cnn_tabtransformer_intermediate_fusion/best.pth,"{'dataset_source': 'processed', 'variant': 'default_balanced', 'experiment_name': 'cnn_tabtransformer_intermediate_fusion', 'image_model': 'cnn', 'tabular_model': 'tabtransformer', 'mode': 'intermediate_fusion', 'scope': 'full'}",ACK,0.7108893394470215,"{'ACK': 0.7108893394470215, 'BCC': 0.005264942534267902, 'MEL': 0.024141909554600716, 'NEV': 0.08213883638381958, 'SCC': 0.013439367525279522, 'SEK': 0.16412565112113953}"
ok,/home/zeus/content/IOT_fusion/NEW/processed/default_balanced/cnn_tabtransformer_late_fusion,/home/zeus/content/IOT_fusion/outputs/ablations_v2/processed/default_balanced/cnn_tabtransformer_late_fusion/best.pth,"{'dataset_source': 'processed', 'variant': 'default_balanced', 'experiment_name': 'cnn_tabtransformer_late_fusion', 'image_model': 'cnn', 'tabular_model': 'tabtransformer', 'mode': 'late_fusion', 'scope': 'full'}",ACK,0.6843351721763611,"{'ACK': 0.6843351721763611, 'BCC': 0.014707752503454685, 'MEL': 0.011892398819327354, 'NEV': 0.09586546570062637, 'SCC': 0.02082451432943344, 'SEK': 0.17237462103366852}"
ok,/home/zeus/content/IOT_fusion/NEW/processed/default_balanced/conformer_img_only,/home/zeus/content/IOT_fusion/outputs/ablations_v2/processed/default_balanced/conformer_img_only/best.pth,"{'dataset_source': 'processed', 'variant': 'default_balanced', 'experiment_name': 'conformer_img_only', 'image_model': 'conformer', 'tabular_model': None, 'mode': 'image_only', 'scope': 'full'}",ACK,0.3779453635215759,"{'ACK': 0.3779453635215759, 'BCC': 0.36967527866363525, 'MEL': 0.01940419338643551, 'NEV': 0.020245227962732315, 'SCC': 0.13751406967639923, 'SEK': 0.07521595805883408}"
ok,/home/zeus/content/IOT_fusion/NEW/processed/default_balanced/conformer_mlp_early_fusion,/home/zeus/content/IOT_fusion/outputs/ablations_v2/processed/default_balanced/conformer_mlp_early_fusion/best.pth,"{'dataset_source': 'processed', 'variant': 'default_balanced', 'experiment_name': 'conformer_mlp_early_fusion', 'image_model': 'conformer', 'tabular_model': 'mlp', 'mode': 'early_fusion', 'scope': 'full'}",ACK,0.4968174695968628,"{'ACK': 0.4968174695968628, 'BCC': 0.2131931185722351, 'MEL': 0.028675584122538567, 'NEV': 0.019601143896579742, 'SCC': 0.128096342086792, 'SEK': 0.11361631006002426}"
ok,/home/zeus/content/IOT_fusion/NEW/processed/default_balanced/conformer_mlp_intermediate_fusion,/home/zeus/content/IOT_fusion/outputs/ablations_v2/processed/default_balanced/conformer_mlp_intermediate_fusion/best.pth,"{'dataset_source': 'processed', 'variant': 'default_balanced', 'experiment_name': 'conformer_mlp_intermediate_fusion', 'image_model': 'conformer', 'tabular_model': 'mlp', 'mode': 'intermediate_fusion', 'scope': 'full'}",ACK,0.3937545716762543,"{'ACK': 0.3937545716762543, 'BCC': 0.033475231379270554, 'MEL': 0.05054732412099838, 'NEV': 0.2796984612941742, 'SCC': 0.04710349440574646, 'SEK': 0.19542086124420166}"
ok,/home/zeus/content/IOT_fusion/NEW/processed/default_balanced/conformer_mlp_late_fusion,/home/zeus/content/IOT_fusion/outputs/ablations_v2/processed/default_balanced/conformer_mlp_late_fusion/best.pth,"{'dataset_source': 'processed', 'variant': 'default_balanced', 'experiment_name': 'conformer_mlp_late_fusion', 'image_model': 'conformer', 'tabular_model': 'mlp', 'mode': 'late_fusion', 'scope': 'full'}",ACK,0.3962475657463074,"{'ACK': 0.3962475657463074, 'BCC': 0.02255808748304844, 'MEL': 0.012028013356029987, 'NEV': 0.20313286781311035, 'SCC': 0.04884304478764534, 'SEK': 0.31719040870666504}"
ok,/home/zeus/content/IOT_fusion/NEW/processed/default_balanced/conformer_tabtransformer_early_fusion,/home/zeus/content/IOT_fusion/outputs/ablations_v2/processed/default_balanced/conformer_tabtransformer_early_fusion/best.pth,"{'dataset_source': 'processed', 'variant': 'default_balanced', 'experiment_name': 'conformer_tabtransformer_early_fusion', 'image_model': 'conformer', 'tabular_model': 'tabtransformer', 'mode': 'early_fusion', 'scope': 'full'}",ACK,0.6955724358558655,"{'ACK': 0.6955724358558655, 'BCC': 0.15720157325267792, 'MEL': 0.013627149164676666, 'NEV': 0.019727610051631927, 'SCC': 0.05482356250286102, 'SEK': 0.05904756858944893}"
ok,/home/zeus/content/IOT_fusion/NEW/processed/default_balanced/conformer_tabtransformer_intermediate_fusion,/home/zeus/content/IOT_fusion/outputs/ablations_v2/processed/default_balanced/conformer_tabtransformer_intermediate_fusion/best.pth,"{'dataset_source': 'processed', 'variant': 'default_balanced', 'experiment_name': 'conformer_tabtransformer_intermediate_fusion', 'image_model': 'conformer', 'tabular_model': 'tabtransformer', 'mode': 'intermediate_fusion', 'scope': 'full'}",ACK,0.7712836265563965,"{'ACK': 0.7712836265563965, 'BCC': 0.012289836071431637, 'MEL': 0.01821517013013363, 'NEV': 0.06591157615184784, 'SCC': 0.014584820717573166, 'SEK': 0.1177150309085846}"
